Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
77,13,1,40,5,Some Random Commen with Id 77
78,14,1,64,4,Some Random Commen with Id 78
79,14,1,0,4,Some Random Commen with Id 79
80,14,1,48,9,Some Random Commen with Id 80
81,14,1,65,2,Some Random Commen with Id 81
82,14,1,108,2,Some Random Commen with Id 82
83,17,9,122,9,Some Random Commen with Id 83
84,17,9,131,4,Some Random Commen with Id 84
85,18,9,110,7,Some Random Commen with Id 85
86,18,9,110,6,Some Random Commen with Id 86
87,18,9,5,2,Some Random Commen with Id 87
88,18,9,126,1,Some Random Commen with Id 88
89,18,9,31,4,Some Random Commen with Id 89
90,18,9,188,1,Some Random Commen with Id 90
91,18,9,56,1,Some Random Commen with Id 91
92,19,6,186,7,Some Random Commen with Id 92
93,20,0,184,7,Some Random Commen with Id 93
94,20,0,188,7,Some Random Commen with Id 94
95,20,0,54,3,Some Random Commen with Id 95
96,20,0,180,1,Some Random Commen with Id 96
97,21,6,58,6,Some Random Commen with Id 97
98,22,7,98,1,Some Random Commen with Id 98
99,22,7,93,8,Some Random Commen with Id 99
100,22,7,6,0,Some Random Commen with Id 100
101,22,7,190,1,Some Random Commen with Id 101
102,22,7,61,5,Some Random Commen with Id 102
103,22,7,36,5,Some Random Commen with Id 103
104,22,7,91,6,Some Random Commen with Id 104
105,23,8,84,0,Some Random Commen with Id 105
106,23,8,127,0,Some Random Commen with Id 106
107,23,8,34,4,Some Random Commen with Id 107
108,23,8,100,9,Some Random Commen with Id 108
109,23,8,175,0,Some Random Commen with Id 109
110,23,8,179,7,Some Random Commen with Id 110
111,23,8,156,2,Some Random Commen with Id 111
112,23,8,3,1,Some Random Commen with Id 112
113,24,5,131,3,Some Random Commen with Id 113
114,25,1,149,0,Some Random Commen with Id 114
115,25,1,81,7,Some Random Commen with Id 115
116,25,1,7,9,Some Random Commen with Id 116
117,25,1,125,0,Some Random Commen with Id 117
118,26,4,28,8,Some Random Commen with Id 118
119,26,4,37,3,Some Random Commen with Id 119
120,27,0,148,1,Some Random Commen with Id 120
121,27,0,110,1,Some Random Commen with Id 121
122,27,0,188,4,Some Random Commen with Id 122
123,29,4,154,9,Some Random Commen with Id 123
124,29,4,91,7,Some Random Commen with Id 124
125,29,4,67,5,Some Random Commen with Id 125
126,29,4,30,0,Some Random Commen with Id 126
127,29,4,108,7,Some Random Commen with Id 127
128,30,0,185,3,Some Random Commen with Id 128
129,30,0,80,6,Some Random Commen with Id 129
130,30,0,114,9,Some Random Commen with Id 130
131,31,1,194,3,Some Random Commen with Id 131
132,31,1,120,9,Some Random Commen with Id 132
133,31,1,109,3,Some Random Commen with Id 133
134,31,1,10,9,Some Random Commen with Id 134
135,31,1,118,0,Some Random Commen with Id 135
136,31,1,71,2,Some Random Commen with Id 136
137,32,1,42,6,Some Random Commen with Id 137
138,32,1,48,0,Some Random Commen with Id 138
139,32,1,55,9,Some Random Commen with Id 139
140,32,1,33,4,Some Random Commen with Id 140
141,32,1,92,9,Some Random Commen with Id 141
142,32,1,189,2,Some Random Commen with Id 142
143,32,1,26,7,Some Random Commen with Id 143
144,33,8,45,7,Some Random Commen with Id 144
145,33,8,196,6,Some Random Commen with Id 145
146,33,8,94,6,Some Random Commen with Id 146
147,33,8,184,8,Some Random Commen with Id 147
148,33,8,18,6,Some Random Commen with Id 148
149,33,8,166,2,Some Random Commen with Id 149
150,33,8,139,4,Some Random Commen with Id 150
151,33,8,54,0,Some Random Commen with Id 151
152,34,0,95,7,Some Random Commen with Id 152
153,34,0,90,3,Some Random Commen with Id 153
154,34,0,163,5,Some Random Commen with Id 154
155,34,0,174,9,Some Random Commen with Id 155
156,34,0,131,6,Some Random Commen with Id 156
157,34,0,79,5,Some Random Commen with Id 157
158,34,0,157,3,Some Random Commen with Id 158
159,34,0,117,8,Some Random Commen with Id 159
160,35,9,0,4,Some Random Commen with Id 160
161,35,9,76,3,Some Random Commen with Id 161
162,36,7,139,4,Some Random Commen with Id 162
163,36,7,196,7,Some Random Commen with Id 163
164,36,7,193,1,Some Random Commen with Id 164
165,36,7,164,3,Some Random Commen with Id 165
166,36,7,67,6,Some Random Commen with Id 166
167,37,3,25,5,Some Random Commen with Id 167
168,37,3,136,1,Some Random Commen with Id 168
169,37,3,39,1,Some Random Commen with Id 169
170,37,3,149,1,Some Random Commen with Id 170
171,39,2,6,1,Some Random Commen with Id 171
